system,mean,std_dev,std_err
copysyn,299.1267625045634,121.51528402550525,54.3432870772448
xtts,482.673592237904,174.85332444316163,78.19678390934699
xtts10k,468.63678247450446,223.32457993225083,99.87378835501964
xtts20k,427.1898087669667,199.3966878642269,89.17290971054373
xtts30k,431.21116536305215,208.8047402380715,93.3803186393027
xtts40k,443.54162839651764,205.0864708187188,91.71745800323643
xtts50k,433.9656570925602,194.69215186408118,87.06897725075957
xtts60k,456.92932323133044,196.22056985675275,87.75250655668906
xtts70k,425.84599887228086,190.7362250140004,85.29983298060013
xtts80k,431.83657000050397,200.8031178148259,89.80188430556994
xtts90k,441.5618749306985,219.35581801645637,98.0989040689739
xtts100k,445.6530689701244,203.58493631031504,91.04595135696593
xtts110k,440.3712276071668,205.5012715041842,91.90296250919926
xtts120k,425.62714996950706,195.44866733275109,87.40730125355478
xtts130k,423.3860519332319,190.3390925348694,85.12222993671814
xtts140k,439.2850702606205,213.64330226064956,95.54418935846938
xtts150k,441.56465041768297,203.8967466348823,91.18539717332966
