system,mean,std_dev,std_err
copysyn,0.8137977339034688,0.07992217860523101,0.035742284854235175
xtts,0.616388387147617,0.06800781723471713,0.030414020467641856
xtts10k,0.6283685135526266,0.046243130923138885,0.02068055684731223
xtts20k,0.6580413670996903,0.04979130956058502,0.022267350573240658
xtts30k,0.6426653835230429,0.04853925994545854,0.021707416963115605
xtts40k,0.6271228510879069,0.02759699132954754,0.012341749717468119
xtts50k,0.6448498344081988,0.029049943654142985,0.01299152975064047
xtts60k,0.6027012757809737,0.09085775324108733,0.04063282250599462
xtts70k,0.6456906654735798,0.02051605190840447,0.009175057339421337
xtts80k,0.6540708647562345,0.0359326974729664,0.016069590832897558
xtts90k,0.6315917933735216,0.03475190109869331,0.015541522640805574
xtts100k,0.6319811578236314,0.04952342428348305,0.022147548635286382
xtts110k,0.6146742026825903,0.038805607633691265,0.017354395315423685
xtts120k,0.6694708710867661,0.04003740080074282,0.01790526996657309
xtts130k,0.6509055706116522,0.012246727360032236,0.005476902975787724
xtts140k,0.6269358563800103,0.06958915439582737,0.03112121594515966
xtts150k,0.6271613764815888,0.05180065143280206,0.023165955576503458
