system,mean,std_dev,std_err
copysyn,0.9829422913814134,0.009861611392712655,0.004410246688358374
xtts,0.9630920953756601,0.027560042004491945,0.01232522547695871
xtts10k,0.9675626421120702,0.025908479156745032,0.011586624117623663
xtts20k,0.9695351268767276,0.02379454915509962,0.010641245880952586
xtts30k,0.9682587858785938,0.025777078835292226,0.011527860107416904
xtts40k,0.9671581389011845,0.024023919990651444,0.010743823637022547
xtts50k,0.968194550676243,0.023395054823807247,0.010462586584673474
xtts60k,0.9674575387692336,0.02589259219776943,0.011579519253578623
xtts70k,0.9688369393582162,0.020720688956908553,0.009266573809655346
xtts80k,0.9685227157990657,0.020984495137093537,0.009384551520010984
xtts90k,0.9703185828075434,0.020127539982284892,0.009001309524046786
xtts100k,0.9643944275993179,0.02755034113230019,0.01232088711502635
xtts110k,0.966164817119674,0.022805059444597257,0.010198732629808614
xtts120k,0.9680057479295681,0.019951228112539493,0.008922460458848626
xtts130k,0.9689513379781733,0.022357589932377044,0.009998618180372
xtts140k,0.9701592745116312,0.021468984552856393,0.009601221773615963
xtts150k,0.9671202157870951,0.02007517446229555,0.008977890951572127
