system,mean,std_dev,std_err
copysyn,0.017373520325825148,0.015118489424887306,0.006761194014231944
xtts,0.012618277778502981,0.01819720825186611,0.008138038930378547
xtts10k,0.0038151704687846037,0.006100331991164693,0.00272815140351218
xtts20k,0.006561264886038576,0.008101185691583844,0.003622960380946024
xtts30k,0.003643892446289892,0.007310937099275207,0.003269550466640898
xtts40k,0.004979517528779893,0.008864779841448938,0.003964450066209927
xtts50k,0.011174034975145176,0.013859321735750328,0.006198077104635622
xtts60k,0.012093749844097338,0.01825007664671187,0.00816168239532583
xtts70k,0.010020173211460526,0.015715307509831487,0.007028099175859229
xtts80k,0.024118184582459123,0.04508474818135465,0.020162512336393802
xtts90k,0.01895818889523919,0.028231015576512957,0.012625293980587676
xtts100k,0.02032339932625237,0.026973953261112283,0.012063118622749839
xtts110k,0.02682385785659782,0.029907929481393133,0.013375232677333015
xtts120k,0.0390937080570007,0.0429268948845443,0.019197491004965806
xtts130k,0.014165255459754365,0.014735321654337804,0.006589836177884797
xtts140k,0.01751057650054632,0.018858163522698673,0.008433627113512226
xtts150k,0.023309156576929828,0.023675729974735084,0.010588108328087405
