,mean,std_dev,std_err
all,0.19267428695062458,0.07659197737479193,0.005106131824986129
p225,0.1985795639574082,0.1046677009316832,0.02231522881792965
p240,0.15099384191029575,0.04338624584353374,0.009046657630200634
p231,0.18888851963086106,0.056028573105332075,0.011945331922439486
p229,0.18618356495217694,0.05253176572181149,0.010953630348867049
p226,0.17468144871151203,0.08819477852636112,0.018389882567317672
p228,0.1500505062874298,0.0434629561544714,0.009266333387065789
p232,0.20579380667323893,0.06613634994558709,0.013790382256777742
p268,0.18977369049910903,0.07965069475980786,0.017381206566316285
p257,0.2385891378104065,0.08600774893874268,0.017933855374329923
p258,0.2411955080355813,0.07480480959504886,0.015597881041362657
