,mean,std_dev,std_err
all,0.11597029848877641,0.08636979147065774,0.005757986098043849
p225,0.10119830463690084,0.057301972722834014,0.01221682163309786
p240,0.07288516828696509,0.05574947967886204,0.011624570089224715
p231,0.14837955336147005,0.10279546087405231,0.021916065896453077
p229,0.10765741915407334,0.04641036917940363,0.009677230935615871
p226,0.06429203554243726,0.054773467286802026,0.011421057437181878
p228,0.07862208580506287,0.04685187994713948,0.009988854367337196
p232,0.11277065778429382,0.06726817249881767,0.014026383573281198
p268,0.1765946458618904,0.13134418600330744,0.02866165116440551
p257,0.14849524881844503,0.05943906067023566,0.012393900907757107
p258,0.15322255011810948,0.12284263026609706,0.025614459071165108
