system,mean,std_dev,std_err
copysyn,0.02555519217619772,0.008673521433231671,0.0038789167058014837
xtts,0.12065402642631692,0.03103606138585173,0.013879748602524158
xtts10k,0.12424460374571862,0.03257377446184771,0.014567434796087622
xtts20k,0.1280371951429128,0.03330164370986488,0.01489294781954723
xtts30k,0.12834438727481345,0.035649099352725526,0.015942761897867606
xtts40k,0.12739778195158863,0.03453092977814005,0.015442701262038575
xtts50k,0.13467716152161235,0.03347620200693465,0.014971012663204152
xtts60k,0.1293953337040395,0.022133296439559576,0.009898311081001854
xtts70k,0.14222407385136646,0.04638421134026483,0.02074364992790976
xtts80k,0.14622021124860923,0.04844200837356938,0.02166392473798303
xtts90k,0.14057607558651491,0.0393309826418374,0.01758935016180254
xtts100k,0.15461914117325032,0.05497907592932583,0.024587390223618992
xtts110k,0.155695009923279,0.043644029085179295,0.019518203169287773
xtts120k,0.16115138250302402,0.040791766481034025,0.018242632554777892
xtts130k,0.15993604441565631,0.034253627681267704,0.015318687994256616
xtts140k,0.1501678162218993,0.03730228490277595,0.01668208895173423
xtts150k,0.1596323425317505,0.0442614786167744,0.019794334994352184
