system,mean,std_dev,std_err
copysyn,0.06837372972056835,0.010478789805491927,0.0046862572654023495
xtts,0.19362491971779563,0.031562085141482975,0.014114993577598399
xtts10k,0.19453919918095797,0.032552737297212114,0.014558026690051813
xtts20k,0.1962701401757449,0.034149762185699734,0.01527223793253528
xtts30k,0.19813791276606976,0.03488138456363529,0.01559942940672007
xtts40k,0.197149258890414,0.034234095303496664,0.015309952849364967
xtts50k,0.20303126931337312,0.032887039759494065,0.014707531296193411
xtts60k,0.19922983171943792,0.023680553332963327,0.010590265399463042
xtts70k,0.20812362188611258,0.042055625026752974,0.01880784727921221
xtts80k,0.2118987211949636,0.04329419698629455,0.019361753498524228
xtts90k,0.20724775468935083,0.03577186156402987,0.015997662827776548
xtts100k,0.21880299606590037,0.047575195143617764,0.021276274076789437
xtts110k,0.2194674964836747,0.04094947959646175,0.018313164004185825
xtts120k,0.22413228297022028,0.03309238804661971,0.01479936584200863
xtts130k,0.2223314432931342,0.02885801775926718,0.012905697881123515
xtts140k,0.2164266164348953,0.03375067981101894,0.01509376286885362
xtts150k,0.222504247669827,0.03730890414197704,0.016685049165496825
