system,mean,std_dev,std_err
copysyn,0.02159960288463585,0.01079744263390947,0.0034144511628161536
xtts,0.09700199446894073,0.022903284439083325,0.007242654472619526
xtts10k,0.0980602648245273,0.02728373460107156,0.008627874441493162
xtts20k,0.10037371654587783,0.027956510662314322,0.008840624912369567
xtts30k,0.11187780995102832,0.029168855737118804,0.009224002087016505
xtts40k,0.11159340823781023,0.03019565880516292,0.00954870572736333
xtts50k,0.11641176693696478,0.03856990588452665,0.012196875173343552
xtts60k,0.10736825000994951,0.027841708878864176,0.00880432140085438
xtts70k,0.12310850114294496,0.033086046376978206,0.010462726532121313
xtts80k,0.13152843286343474,0.04201285643423788,0.01328563173418518
xtts90k,0.1274128557498209,0.03130971951655981,0.0099010026573355
xtts100k,0.12726424049672302,0.037282468871236485,0.011789751842743414
xtts110k,0.12458203429879817,0.028876866870627772,0.009131667100064257
xtts120k,0.12586434543624336,0.029384676774082148,0.009292250691394862
xtts130k,0.12705942292774458,0.033853392370317495,0.010705382641356967
xtts140k,0.12192387971076282,0.032809517579515494,0.010375280448260357
xtts150k,0.13620447732251834,0.03875112987214045,0.012254183230095328
