system,mean,std_dev,std_err
copysyn,0.05918840664432318,0.013820323385222195,0.004370369989739078
xtts,0.17140167291737965,0.026571141976720457,0.008402532867814536
xtts10k,0.1678012160032216,0.028549185256372983,0.009028045075223675
xtts20k,0.17018944086755372,0.02916705752581184,0.00922343344267208
xtts30k,0.17948926285539707,0.0295049724398474,0.009330291521041315
xtts40k,0.1788377341405755,0.030650622908987867,0.009692578009533747
xtts50k,0.18384118425766482,0.03608535301506051,0.011411190569881552
xtts60k,0.17665922132191145,0.028732783070381032,0.009086103801793016
xtts70k,0.18825177447002742,0.030470338840817762,0.009635567181407888
xtts80k,0.19539277091025153,0.037345422817788576,0.011809659628623525
xtts90k,0.19152653461366956,0.028933128595288602,0.009149458619566007
xtts100k,0.1925597248167674,0.03496666742580768,0.011057431125116899
xtts110k,0.19011436573821633,0.02874176471388878,0.00908894404685463
xtts120k,0.19131626078737338,0.028335270038778424,0.008960399143846741
xtts130k,0.19247295884680193,0.030933143964927263,0.009781919011906181
xtts140k,0.18815835101847742,0.0325679933717217,0.010298903787590737
xtts150k,0.1994294369232601,0.03559760700097136,0.011256951737462523
