system,mean,std_dev,std_err
copy_synth,0.068457122,0.034968572,0.003289567
xtts2,0.193935488,0.05566056,0.005236105
10k,0.194848493,0.054382445,0.00511587
20k,0.196619269,0.055133403,0.005186514
30k,0.198531944,0.056783918,0.005341782
40k,0.197473259,0.056308298,0.005297039
50k,0.203384363,0.068606243,0.006453932
60k,0.199364621,0.054906642,0.005165182
70k,0.208525895,0.065586152,0.006169826
80k,0.212217454,0.068757782,0.006468188
90k,0.207405468,0.063409427,0.005965057
100k,0.21915748,0.074185558,0.00697879
110k,0.219839354,0.072263464,0.006797975
120k,0.224132025,0.07699851,0.007243411
130k,0.222325257,0.073557975,0.006919752
140k,0.216659319,0.064852292,0.00610079
150k,0.222608586,0.069332661,0.006522268
