system,mean,std_dev,std_err
copysyn,0.007254285818395631,0.003529941307402764,0.0015786377439874122
xtts,0.05528763288546244,0.029322725538361596,0.013113521517869129
xtts10k,0.1369782208341636,0.05365840963397727,0.023996770301220556
xtts20k,0.15531964891203676,0.04356136516292107,0.01948123473939654
xtts30k,0.16014354766157307,0.043257148281570804,0.019345184814076107
xtts40k,0.1650091031855559,0.044061884242220475,0.01970507367646636
xtts50k,0.15489170582298406,0.03908360157282243,0.01747871798446973
xtts60k,0.15970162319499542,0.03936945880679424,0.017606557225873936
xtts70k,0.15325806578725143,0.03649411671105592,0.01632066514894642
xtts80k,0.16077653685744925,0.04215860468084982,0.018853901180584207
xtts90k,0.16977901415746613,0.04741147653257251,0.021203056888093628
xtts100k,0.16321405621841173,0.04087320268321188,0.018279051931557714
xtts110k,0.17082060996612305,0.04571613901218853,0.020444878900016727
xtts120k,0.1605987623629,0.05032526932669808,0.022506144640096395
xtts130k,0.1603816558652283,0.03963341200098484,0.01772460068289161
xtts140k,0.15715111526525957,0.04544237289983873,0.020322446972586727
xtts150k,0.16308365177805298,0.047277313570246136,0.021143057387328728
