system,mean,std_dev,std_err
copysyn,0.0043429078341287435,0.0012560412410045163,0.0003971951156678749
xtts,0.07858896431601554,0.05643353242965339,0.017845849888668067
xtts10k,0.1578123677288683,0.09026963987364743,0.028545766556388002
xtts20k,0.18323110331558895,0.08176460354820884,0.025856237919302503
xtts30k,0.19261918784078186,0.07706170283740782,0.024369050133726894
xtts40k,0.2099301391552184,0.06576097341220087,0.020795445713232955
xtts50k,0.20620161260194977,0.06825433682946631,0.021583916456542916
xtts60k,0.21724235673902276,0.06620734408040663,0.020936600512455106
xtts70k,0.21858835557721842,0.06675834225225169,0.021110841433417033
xtts80k,0.22341806501924424,0.05817285049262828,0.01839587055411535
xtts90k,0.22888796615744572,0.059717786660571925,0.01888442226714278
xtts100k,0.23081632592834894,0.05607692062132473,0.01773307933318507
xtts110k,0.22998665018018077,0.054949306922872004,0.01737649657239338
xtts120k,0.22786796535733167,0.05131056282218579,0.01622582465432643
xtts130k,0.23700893383603364,0.05555425750121246,0.017567798742332576
xtts140k,0.23478561620628105,0.05260701117423085,0.01663579762044985
xtts150k,0.22858190760387692,0.052543084149400995,0.016615582120199802
