system,mean,std_dev,std_err
copysyn,0.030014347858457514,0.00805691347005621,0.00360316124157588
xtts,0.18414230076651353,0.04200528818836168,0.018785335960729142
xtts10k,0.42067818122869943,0.21182558365141985,0.09473128088362857
xtts20k,0.46266940058970285,0.1869601306386618,0.08361111223805778
xtts30k,0.4844806263923756,0.17779396671817416,0.07951187911423452
xtts40k,0.4820271354611644,0.15727267261889674,0.07033447739578459
xtts50k,0.465720561954538,0.1526481238293252,0.06826631630403532
xtts60k,0.4817523985520641,0.16494663884610816,0.07376637942400106
xtts70k,0.45554808795086055,0.13057884008561346,0.058396632570901226
xtts80k,0.4661083712007395,0.14335097760109264,0.06410850611141856
xtts90k,0.4903620264691364,0.14113189368564968,0.0631161016148772
xtts100k,0.48545700889161736,0.1317423481146474,0.05891696917995857
xtts110k,0.4915269654762403,0.13534700476707784,0.060529020642034824
xtts120k,0.4741473175880942,0.13899806747971308,0.06216182552514826
xtts130k,0.4809682511847697,0.14004708153503775,0.06263095887256
xtts140k,0.46584450642925573,0.1438150386069703,0.06431604050238846
xtts150k,0.47777399222164735,0.1458409236067354,0.06522204381720283
