system,mean,std_dev,std_err
copysyn,0.03395247280015679,0.006384360704397022,0.0036860123712872898
xtts,0.23175074218504466,0.06910660436918657,0.03989871663533084
xtts10k,0.2095924413888041,0.07643062067528017,0.04412723942120318
xtts20k,0.23144576108620177,0.09049646006744266,0.052248155580646244
xtts30k,0.22681940761497954,0.09551194698155997,0.05514384830062892
xtts40k,0.22913737653911928,0.09363410598843841,0.05405967629775487
xtts50k,0.2325433049391498,0.09109784828169906,0.052595367228034644
xtts60k,0.24792592090378926,0.10417208328364433,0.06014378032585617
xtts70k,0.2308595870540291,0.09687642993615488,0.05593163290176894
xtts80k,0.23774822389669384,0.10543457311359246,0.06087267916902589
xtts90k,0.23331795650617768,0.10036230322826177,0.05794420278532778
xtts100k,0.2235517270229458,0.08985058505837162,0.051875259470296226
xtts110k,0.2366239611628059,0.09490731391198043,0.05479476323514622
xtts120k,0.23965580221508964,0.10007941055339081,0.057780874623339265
xtts130k,0.241794402228612,0.10272166554266833,0.05930638125266627
xtts140k,0.24514331469875314,0.10240503527815985,0.059123574684218715
xtts150k,0.2284286586304877,0.10696480803341901,0.06175616071191112
