system,mean,std_dev,std_err
copysyn,0.03636893463658676,0.008565262664274065,0.002708573877670817
xtts,0.2520905007016683,0.07520711531651261,0.023782578065111498
xtts10k,0.34314207028705307,0.1426274496384667,0.04510275977185139
xtts20k,0.365301436067902,0.11947273743497042,0.03778059685897694
xtts30k,0.36777947314055043,0.11903675801217035,0.03764272806007556
xtts40k,0.388930377734751,0.10761806760014789,0.03403182110024381
xtts50k,0.37977356401746054,0.11720156064781109,0.03706238769734425
xtts60k,0.3987256786137596,0.10596519502620719,0.033509136898676045
xtts70k,0.39202062657346,0.10655198618567663,0.033694696556153494
xtts80k,0.3976557151699864,0.09765928449814107,0.03088257736764996
xtts90k,0.4042965174127712,0.10137321470307749,0.03205702521949946
xtts100k,0.413505569538031,0.09350241931501496,0.029568061177156817
xtts110k,0.413048350886998,0.09970007330008317,0.03152793145140029
xtts120k,0.4103905895627281,0.09069222421523815,0.02867939945868293
xtts130k,0.4188668975832667,0.08908638887794093,0.028171589737378537
xtts140k,0.4169706833403505,0.08698110456307147,0.027505840381657078
xtts150k,0.41199144058486514,0.09455148594545443,0.0298998051741035
