system,mean,std_dev,std_err
copysyn,3.923130288801054,0.12169432879591408,0.07026025348917182
xtts,4.037013149011858,0.07770346939012876,0.04486211896935869
xtts10k,4.1572169144268765,0.11289709703790371,0.06518116936556101
xtts20k,4.200697695059289,0.019544512138110877,0.011284029344118224
xtts30k,4.22090714486166,0.07458699746729612,0.04306282306578935
xtts40k,4.208061424901186,0.0795361463974277,0.045920215532860374
xtts50k,4.196916136231883,0.04676883086439356,0.0270019970892417
xtts60k,4.177454460869565,0.07442014252203376,0.042966489318226504
xtts70k,4.133056168774703,0.10237589190260038,0.059106748748494364
xtts80k,4.149270734980238,0.10332740834951738,0.05965610702526025
xtts90k,4.122521980434782,0.1052442490787018,0.060762795536248505
xtts100k,4.197549087483531,0.10304654643511049,0.05949395132337232
xtts110k,4.2019285674571805,0.08189883069317072,0.0472843119470177
xtts120k,4.090670902700922,0.1420057031335031,0.08198703093059011
xtts130k,4.165296798418972,0.08416118040536166,0.04859048016235221
xtts140k,4.144532578722003,0.15013090649300348,0.0866781192774181
xtts150k,4.1438264413043475,0.16151067546420517,0.09324823195625714
