,mean,std_dev,std_err
all,0.02177658573878086,0.039470084207253814,0.002631338947150254
p225,0.021010019461879855,0.034307850022723026,0.007314458201465394
p240,0.0195549265425291,0.03970642226243461,0.008279361372354343
p231,0.02593653079148023,0.0497057252285127,0.010597296225694046
p229,0.0419095310686429,0.06875867314164791,0.014337174441472639
p226,0.01579421540917237,0.028550470091635687,0.005953184542211453
p228,0.007544933162654085,0.004603496224391042,0.000981468692780518
p232,0.030966346790785325,0.05124037677168003,0.010684357138610606
p268,0.006842694412273975,0.006809134195487256,0.0014858748984729804
p257,0.029195574518515535,0.034466264657717516,0.0071867129798400325
p258,0.01724125668842558,0.01782952317125138,0.0037177125769705193
