,mean,std_dev,std_err
all,0.0594197481782024,0.038489087664274266,0.0025659391776182844
p225,0.06339813752331037,0.03225164470995404,0.0068760737558088356
p240,0.05253734862697566,0.03565028342207233,0.007433597958722059
p231,0.06139351586329627,0.04563858448839512,0.009730178906381889
p229,0.07738183894541253,0.05920558212040147,0.012345217264743536
p226,0.0486450904178062,0.027208443423557226,0.005673352637868105
p228,0.04255220521137999,0.012429174458798096,0.0026499088983246107
p232,0.06726973776183785,0.04953214284854288,0.010328165743055246
p268,0.038273164750406305,0.010265598342223695,0.0022401372122501555
p257,0.079893080556934,0.041922957017599696,0.008741540818064731
p258,0.06053994678587298,0.019706637872837277,0.004109118049089623
