,mean,std_dev,std_err
all,0.09703230600810242,0.0558523661702318,0.0037234910780154533
p225,0.10862147658189948,0.06634478401619275,0.014144755478710545
p240,0.08011890344475595,0.03923279221652847,0.008180602680852399
p231,0.11001488277063814,0.05905339352631297,0.012590225803039692
p229,0.09956053375076386,0.044508297270188776,0.009280621525971514
p226,0.052372992626050455,0.03375735428132024,0.007038894948086575
p228,0.08635013244857813,0.04079791891999515,0.008698145539561079
p232,0.1095726109179021,0.06866514407048022,0.014317672282000805
p268,0.08660169211610576,0.050892430352465455,0.011105638780497194
p257,0.13886891496907627,0.0575417684082414,0.011998288123452352
p258,0.09793780506363756,0.0519209836310488,0.010826273479095112
