,mean,std_dev,std_err
all,0.171444274566826,0.05365158155203306,0.003576772103468871
p225,0.17974776441146875,0.05641960149818854,0.012028699455911868
p240,0.15667755926746554,0.04341776634057854,0.009053230108172718
p231,0.18862678532604926,0.05593750308790223,0.011925915729484924
p229,0.17459489624408814,0.04086083980584957,0.008520074069996721
p226,0.1197524518224384,0.03722207779394328,0.0077613397411909375
p228,0.1596769248743225,0.03652149533679545,0.007786408968182875
p232,0.17864085750110653,0.05322682400392859,0.011098560019298213
p268,0.15968575942481258,0.048174880682462645,0.010512620824897664
p257,0.2239809125312668,0.05887099503021334,0.012275451033681896
p258,0.17263281777077816,0.04531286256287167,0.009448384986545946
