,mean,std_dev,std_err
all,0.1835046144557679,0.07560843657321768,0.005040562438214513
p225,0.16978985971432567,0.05050367228892742,0.010767419110588318
p240,0.14509593728340386,0.046356717258773425,0.009666043736822626
p231,0.2169745269076963,0.08564202615395058,0.018258941326168187
p229,0.1804280853459877,0.04147971829356321,0.008649119155234858
p226,0.12985469089639662,0.04921397954281486,0.010261824107786905
p228,0.15019663696618177,0.0481834596722813,0.01027274811862204
p232,0.17620875363972774,0.058386373458700236,0.012174400450658422
p268,0.22898655156346331,0.11488430811767157,0.025069811338659983
p257,0.22713560711280273,0.061075270442906664,0.01273507422978006
p258,0.21374119314666262,0.09575613935643927,0.019966535290275533
