,mean,std_dev,std_err
all,0.1276127977777329,0.09725832665653399,0.006483888443768932
p225,0.10449301571856505,0.07265095650840532,0.015489235971512312
p240,0.08639147154119206,0.04131503283323807,0.008614779862971442
p231,0.15892630632377194,0.12464966531291595,0.026575397938200764
p229,0.11932916757307648,0.052706439082088045,0.010990052262236495
p226,0.12104397261758029,0.15963317280234499,0.03328581749095273
p228,0.07982182977184431,0.04646096789991964,0.009905511638837888
p232,0.16670074605694635,0.14029397752975442,0.029253316520353158
p268,0.12441808532736583,0.08186804358640835,0.0178650717491743
p257,0.15821083549795825,0.061270459797204135,0.012775774023621577
p258,0.1547931270699088,0.07638012479423949,0.015926356967077095
