system,mean,std_dev,std_err
copy_synth,0.025675758,0.038195108,0.003593094
xtts2,0.120964969,0.062690605,0.005897436
10k,0.124523628,0.060309838,0.005673472
20k,0.128367836,0.060510369,0.005692337
30k,0.128738989,0.063823427,0.006004003
40k,0.127685031,0.063128,0.005938583
50k,0.135024796,0.081320277,0.007649968
60k,0.129468093,0.063987232,0.006019412
70k,0.1426402,0.076567281,0.007202844
80k,0.146555815,0.084122536,0.007913583
90k,0.14066841,0.075832331,0.007133706
100k,0.154983552,0.089011431,0.008373491
110k,0.156076025,0.088316688,0.008308135
120k,0.161030924,0.096406536,0.009069164
130k,0.159854165,0.091860126,0.008641474
140k,0.150385462,0.076469533,0.007193649
150k,0.15970484,0.085734519,0.008065225
