system,mean,std_dev,std_err
copy_synth,0.0217765857387808,0.0394700842072538,0.0026313389471502
xtts,0.0970323060081024,0.0558523661702318,0.0037234910780154
10k,0.0980491809974055,0.05738791946994,0.003825861297996
20k,0.1003749371850657,0.0635159198123005,0.0042343946541533
30k,0.1119212968972426,0.0814335043483413,0.0054289002898894
40k,0.1114325192742053,0.0804922577292233,0.0053661505152815
50k,0.1159702984887764,0.0863697914706577,0.0057579860980438
60k,0.1073536095196374,0.0647660648662276,0.0043177376577485
70k,0.1232000611692201,0.0911549204655747,0.0060769946977049
80k,0.1315266686003319,0.0979689304017314,0.006531262026782
90k,0.1276127977777329,0.0972583266565339,0.0064838884437689
100k,0.1273278309225917,0.0837997358119503,0.00558664905413
110k,0.1245955044915872,0.0810719275182819,0.0054047951678854
120k,0.1258469501155096,0.0870276346212355,0.0058018423080823
130k,0.1272210700446055,0.0910230956484606,0.006068206376564
140k,0.1222210911944563,0.0781098998046339,0.0052073266536422
150k,0.1362438524804939,0.0932806079166728,0.0062187071944448
