system,mean,std_dev,std_err
copy_synth,0.059419748,0.038489088,0.002565939
xtts2,0.171444275,0.053651582,0.003576772
10k,0.167846046,0.055271153,0.003684744
20k,0.17022931,0.05965767,0.003977178
30k,0.17022931,0.05965767,0.003977178
40k,0.178769332,0.071308815,0.004753921
50k,0.183504614,0.075608437,0.005040562
60k,0.176693427,0.06159298,0.004106199
70k,0.188376137,0.077412967,0.005160864
80k,0.195430827,0.083101647,0.00554011
90k,0.191727211,0.080190555,0.005346037
100k,0.19264099,0.07278699,0.004852466
110k,0.190178669,0.069123743,0.00460825
120k,0.19138556,0.074124106,0.004941607
130k,0.192674287,0.076591977,0.005106132
140k,0.188474606,0.066551778,0.004436785
150k,0.199503428,0.076633015,0.005108868
